L5	-7.24	104.68	90.00	68uH	ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7	-12.75	91.18	0.00	MLP2016SR47MT0S1_FTC252012SR47MBCA	MLP2016SR47MT0S1_INDC2016X100N
Q3	-5.94	94.30	0.00	ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3	ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17	-10.19	113.13	0.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R18	-13.35	113.17	0.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R1_EP_DR	-7.05	92.24	0.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R1_USB	-22.78	109.41	0.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R2	-19.11	91.42	0.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R2_EP_DR	-8.60	94.99	90.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R2_USB	-25.81	109.39	0.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R3	-45.35	85.17	0.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R4	-18.16	91.79	0.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R5	-34.12	88.64	180.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R7	-11.00	88.56	180.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R8	-22.55	88.53	179.60	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R9	-24.52	91.16	0.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R_PWR_EPD	-8.36	110.60	0.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
R_TYPE_SEL	-5.81	92.20	180.00	ERA-1AEB3401C_CPF0201D7K68C1	ERA-1AEB3401C_0201
SJ1	-8.82	91.70	90.00		ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN	-15.12	86.80	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT	-26.16	86.80	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP	-37.21	86.80	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V	-5.50	109.98	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3V3	-10.37	115.51	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_BAT_GND	-37.41	115.53	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_GND	-33.06	90.97	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_ON	-13.53	109.81	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_OP	-31.70	85.91	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_RESET	-9.58	84.80	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SCL	-42.77	89.25	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA	-10.66	109.86	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDCLK	-5.59	88.54	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDIO	-6.93	86.01	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWO	-38.28	89.96	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VBAT	-20.25	85.27	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VREG	-13.66	115.53	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U1	-23.44	99.96	0.00	NORDIC_NRF_4_NRF52840_QF	NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3	-46.33	91.24	0.00	ESP32_C6_LIBRARY_MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1	-17.04	103.07	0.00		NORDIC_NRF_BT-XTAL_2016_N
X2	-30.53	102.02	269.00	32.768kHz	NORDIC_NRF_1_XTAL_3215_N
